sha,test_time,test_status,reduced_javamop_time,reduced_javamop_status,reduced_emop_time,reduced_emop_status,reduced_imop_time,reduced_imop_status,redundant_test_time,redundant_test_status,reduced_partial_javamop_time,reduced_partial_javamop_status,redundant_partial_test_time,redundant_partial_test_status,all_javamop_time,all_javamop_status,all_emop_time,all_emop_status,all_imop_time,all_imop_status,all_rts_javamop_time,all_rts_javamop_status
2ce183dffa22f520cd44e7f9d0e674a8ff1cc989,92719,0,522167,0,536745,0,541497,0,1400,0,0,0,0,0,542260,0,539619,0,509364,0,530131,0
d5ecd6a6b247de9f89fd65c06cdb17929c4ffa22,93650,0,570311,0,560679,0,537433,0,1360,0,0,0,0,0,564148,0,2590,0,567432,0,520802,0
11b2eca3d9ce449d0a0fac1865015edfb0c073a6,89804,0,558619,0,544386,0,578668,0,1463,0,0,0,0,0,564123,0,539728,0,570226,0,566149,0
5aebde5b3144f5f735f3ebd4c01f3f379a5930df,1365,0,3949,0,6066,0,4163,0,1362,0,0,0,0,0,3933,0,5990,0,4014,0,5335,0
