sha,test_time,test_status,reduced_javamop_time,reduced_javamop_status,reduced_emop_time,reduced_emop_status,reduced_imop_time,reduced_imop_status,redundant_test_time,redundant_test_status,reduced_partial_javamop_time,reduced_partial_javamop_status,redundant_partial_test_time,redundant_partial_test_status,all_javamop_time,all_javamop_status,all_emop_time,all_emop_status,all_imop_time,all_imop_status,all_rts_javamop_time,all_rts_javamop_status
125919c7fcb90009279111b728a67ac0750f4976,12130,0,63567,0,69053,0,66311,0,1296,0,0,0,0,0,67077,0,78602,0,67720,0,66965,0
c90a631b9e586531abef138b9a46211735ca0515,12154,0,63140,0,67090,0,70541,0,1302,0,0,0,0,0,69398,0,70793,0,65546,0,78241,0
81c93f337c297e0007c0864ed2bd396d35fa72fe,12156,0,63246,0,65108,0,73833,0,1281,0,0,0,0,0,64764,0,69181,0,77921,0,72412,0
117c90f621f9d654760f7310b71a338cf7b26a40,12112,0,74075,0,60755,0,66671,0,1268,0,0,0,0,0,74288,0,1953,0,64580,0,74835,0
a2788d728bbd62a119a0ca42d5b6fd6b4ff5896f,12282,0,66277,0,63527,0,66875,0,1272,0,0,0,0,0,67555,0,74776,0,75869,0,112357,0
a267d5ac48e41e76fde82af6014ca42cebea8059,27128,0,87360,0,60240,0,68505,0,5528,0,0,0,0,0,106051,0,88958,0,107962,0,99136,0
c43f6b731772061e2eff13af6ae5bfdbb5bd13cf,16183,0,71870,0,81631,0,118891,0,10504,0,0,0,0,0,122222,0,95576,0,95098,0,94866,0
770247d9c3a8a3dc99cb36de9101e7811af55b47,16155,0,65161,0,86598,0,65602,0,5442,0,0,0,0,0,102655,0,90615,0,95970,0,95274,0
bb957fc2bf755bf9f4ffa866c85a25d6c2cd2e5a,16187,0,65333,0,85125,0,66108,0,5428,0,0,0,0,0,96052,0,105001,0,111659,0,94292,0
