sha,test_time,test_status,reduced_javamop_time,reduced_javamop_status,reduced_emop_time,reduced_emop_status,reduced_imop_time,reduced_imop_status,redundant_test_time,redundant_test_status,reduced_partial_javamop_time,reduced_partial_javamop_status,redundant_partial_test_time,redundant_partial_test_status,all_javamop_time,all_javamop_status,all_emop_time,all_emop_status,all_imop_time,all_imop_status,all_rts_javamop_time,all_rts_javamop_status
b41a5183635df4f1d9a2c3c30191d9f767194e09,14697,0,18508,0,22423,0,19299,0,3005,0,0,0,0,0,35445,0,40057,0,36885,0,37486,0
b018d98ec79189473240c70550547db88c747f7c,14874,0,17203,0,15410,0,18516,0,4471,0,0,0,0,0,35181,0,28264,0,35740,0,36395,0
2fdb5b3aaf4c85a0128146f46bda520a29456749,15680,0,15360,0,14612,0,16357,0,5013,0,0,0,0,0,37814,0,46513,0,37175,0,39195,0
47ee1b62463fde1ce21e7ccccd07819bbdaf7245,16136,0,15248,0,14031,0,15849,0,4953,0,0,0,0,0,36691,0,34965,0,37039,0,37993,0
71d6dedd38303e7a8315bd29abe18950223bfb51,16217,0,15920,0,15135,0,16928,0,4722,0,0,0,0,0,36415,0,34337,0,37271,0,39688,0
6dc5db6334acb57ba3d0dc64296af66845a13dd1,16551,0,15352,0,14888,0,16153,0,5036,0,0,0,0,0,38337,0,26534,0,39277,0,38638,0
bfb76e28beff5a2ac18f735815340aecb557e181,15660,0,14978,0,19148,0,15374,0,5196,0,0,0,0,0,30442,0,27489,0,29531,0,31008,0
