sha,test_time,test_status,reduced_javamop_time,reduced_javamop_status,reduced_emop_time,reduced_emop_status,reduced_imop_time,reduced_imop_status,redundant_test_time,redundant_test_status,reduced_partial_javamop_time,reduced_partial_javamop_status,redundant_partial_test_time,redundant_partial_test_status,all_javamop_time,all_javamop_status,all_emop_time,all_emop_status,all_imop_time,all_imop_status,all_rts_javamop_time,all_rts_javamop_status
220802a0ea364f4eae106f115c02b2d1013333b4,6086,0,129984,0,132792,0,120928,0,3522,0,9787,0,6123,0,205288,0,196896,0,195671,0,199818,0
af6d9325aa6dc75be1d7b2cfd0951f6b9fa781ea,6256,0,141218,0,129067,0,124988,0,3467,0,7863,0,6474,0,195200,0,203650,0,186250,0,199316,0
c3d1b52c1e3db351b4ba3981f8d6f3aad80d3f9e,6380,0,121261,0,105631,0,125888,0,3674,0,8554,0,6164,0,194188,0,174109,0,205565,0,202626,0
100709155841df514f391f6b7589d89475bd0626,6057,0,111141,0,117404,0,124646,0,3617,0,7744,0,6176,0,191144,0,179208,0,198919,0,205792,0
68163246035f8aef9971e7914e3d261fe5ac37dd,6574,0,128455,0,127943,0,131353,0,3629,0,10406,0,6200,0,186024,0,169510,0,184174,0,183322,0
c0a3ae2d407ebd88023ea2d0f02a4882b0492df0,6375,0,123578,0,113763,0,115909,0,3636,0,8617,0,6481,0,213529,0,3803,0,191376,0,209630,0
