sha,test_time,test_status,ekstazi_time,ekstazi_status
0f575248883236a9c66119e78bbdc49e74bfdba2,1398,0,9814,0
f403aa4b8629812db3f2a74958094c6074a6fb07,1384,0,1709,0
4e169da8187928a78b9f52334370e95cee27b2cc,1345,0,8834,0
98374a1da25c2751b294ee65fc2deb7a7e92aaf2,1351,0,8288,0
0f9d2bece653d193296cffd940793674960de0d6,1243,0,6874,0
81d13994049456986a499a238a76e2ebb8cb0821,1281,0,6697,0
fa9348d55d983c1dab0e8dca3c2c95b3cfbe0e10,1248,0,7082,0
2128d6c7578c571f1861409c21e6aae2d7622596,1240,0,7940,0
579a98c6a7463fbafd21583970612b548124d508,1286,0,8654,0
e1af58640343ecbf8ebbfbb15053c6e356eed447,1277,0,1809,0
3c41f4e60d96eaee8acb2235cceafb0a6a4cb262,1276,0,8441,0
dcd15522663915903f3a538f201b14e76a03eb21,1324,0,8416,0
98a58450ffb1decab4c6dd07a814ce336a21b6fa,1322,0,10428,0
0dd5fb28e1b27a2b935bfde2df48e2fd55095e2a,1327,0,10067,0
376aa7df13adac30686086b27afc7e10be67cb59,1325,0,10372,0
f45cb0be5a7d6992931848c428e7e67d285b72bd,1354,0,10920,0
09f827e2656028f7c205cde9a4a06d4db8e3a8bc,1324,0,1777,0
8b4d0d4560f09ca405d8f4dc71f5a247f4760886,2085,0,15753,0
57822a00d4fd57d13e435f988206e513fcda9ec8,2102,0,15961,0
b75e47ab34067b1b2c01c25e4cf2ccf6cd91574a,2076,0,10867,0
56decce3d9cf9dec28aaf3299bd7c56e4ced982a,2149,0,10198,0
f8bdf1d22ee8d10a31cf607a0c35877297bdba69,2145,0,14391,0
0dbbfd79af9d8d1c80a8eb1917ce5c0b7ed46d10,2187,0,14361,0
7ca843ee4f199c58710d457f1ef84abc144c8024,4818,0,319678,0
e156e7334838bc5f7e70031706a18a1f09b35e10,4821,0,1937,0
368520fc90079650bbde482249366c2e276c6e41,4833,0,309099,0
ba997d692558602e915039b71fabed2e5e7bc316,5427,0,333026,0
b1ed3249d04322fc696e9d132f521050f89468fb,5464,0,20597,0
ab6e91f7a415aa787902649b5190be78c64cf6ef,5875,0,482107,0
63dd152ada8ce9580bfaba7ef97208cc26777309,5975,0,24521,0
addb53f3a9d1b417dc10d63d5c475220357aa9fb,6097,0,1985,0
77b617dc3da076645bfab6b5f92df721cacaca67,4464,0,288193,0
678686df0b8038ad58499f11ac1d889d524a1eb5,4282,0,296974,0
a4e364a94db0a662ef47b59a217b7653e2cf150a,4465,0,303941,0
5a2b9da9dfcdc9d59d54d66c7e50c5827aa46034,4590,0,298567,0
ed7973a4731b4a458ab779756728f08954a0a224,4577,0,2027,0
1df1e6aec1c28934126ea9517b392090036ff4ba,4551,0,301489,0
56d1a6a98fcd4e61c446282bccbeefe36a50c778,4620,0,307874,0
d28208beaff15c6c4922da8f35186162c8dc9ba6,4942,0,24929,0
0ff91d51543d1585919fe7409491de40de0fd5c5,4908,0,298416,0
56df8bd6484a0f5d2332f716162eea31abff4f68,6182,0,344717,0
7be3593656cab52263504fe8b3e47df01bc02fe5,5260,0,18687,0
154f07602b353af38dc6736599938aa65c970f8c,5267,0,320786,0
8772b1b81041da1eafd56d314a6cbb40802485ce,5329,0,317272,0
