sha,test_time,test_status,ekstazi_time,ekstazi_status

3ec44e7ec983b5a768f42f8b0b736b7f316a1cf7,2213,0,12253,0
994356358ac9a79867c537877e2fdc75e5f150e9,2219,0,11536,0
ca5ec8f3ecef41524860726d908de98e2b4d2bd7,11762,0,562005,0
dd33b10de4d7f9c168b46b808ce4f8f8bd968209,11529,0,565606,0
a317a6da0459a55c0add40d5350d7f442cc5cdb2,11784,0,574904,0
3a0de75f8ac30793b8d5e436724e96b69aa9bc52,11615,0,576078,0
9534a78b9621787cf139146c16331ee1155b1d16,11441,0,578056,0
6bae6ca3ad4c75e3baed13fb6b153829d7e74dab,12781,0,654649,0
a559e1c7b7501a89205ecdeed4dfbe7f59401486,12969,0,674044,0
a7ec29a09e60806e44b24a2f28e61bf6b4119db3,13266,0,697650,0
e6487e17818416dc1d7050cced528515795e8ea4,13205,0,696912,0
1f7c763124bf7f059eafdbaa4da485e06fd7ec21,13283,0,692452,0
5e47d211b0932f16dec42e57a227e11c9e9295ec,13243,0,688178,0
6954ee65a67146aef022d1de641794dee509d6da,13951,0,618163,0
be099cbb285b839f38b20f6244005a734af85e5b,3328,0,73637,0
47303c63ff8bd530b7b1ea9bfa2dc98352393697,4806,0,95227,0
c45ad87daa51285aec3c284c353546dcf323bf56,4779,0,95321,0
