indeedeng-vowpal-wabbit-javaproject,sha,reduced_javamop_violations,reduced_emop_violations,reduced_imop_violations,reduced_partial_javamop_violations,all_javamop_violations,all_emop_violations,all_imop_violations,all_rts_javamop_violations
,2ce183dffa22f520cd44e7f9d0e674a8ff1cc989,0,0,0,0,0,0,0,0
,d5ecd6a6b247de9f89fd65c06cdb17929c4ffa22,0,0,0,0,0,0,0,0
,11b2eca3d9ce449d0a0fac1865015edfb0c073a6,0,0,0,0,0,0,0,0
,5aebde5b3144f5f735f3ebd4c01f3f379a5930df,0,0,0,0,0,0,0,0
