StarlangSoftware-TurkishPropBankproject,sha,reduced_javamop_violations,reduced_emop_violations,reduced_imop_violations,reduced_partial_javamop_violations,all_javamop_violations,all_emop_violations,all_imop_violations,all_rts_javamop_violations
,b7bc44b88993ecb15828d68e2b9dd09fcf228521,0,0,0,0,0,0,0,0
,05ba4bb67adf6df47b34c92292d679b5f36211ef,0,0,0,0,0,0,0,0
,a9187dbbaf74f04c422867fc576aed005caf884f,0,0,0,0,0,0,0,0
,b345528f676bb73b1da93284c561c5022b14d00d,0,0,0,0,0,0,0,0
