project,all_reduced_tests,time_all_track,time_all_no-rv,violations_all,SEQ_perfect_reduced_tests,SEQ_time_perfect_track,SEQ_time_perfect_no-rv,SEQ_time_perfect_redundant-no-rv,SEQ_violations_perfect,PAR_perfect_reduced_tests,PAR_time_perfect_track,PAR_time_perfect_no-rv,PAR_time_perfect_redundant-no-rv,PAR_violations_perfect,SEQ_state_reduced_tests,SEQ_time_state_track,SEQ_time_state_no-rv,SEQ_time_state_redundant-no-rv,SEQ_violations_state,PAR_state_reduced_tests,PAR_time_state_track,PAR_time_state_no-rv,PAR_time_state_redundant-no-rv,PAR_violations_state,SEQ_prefix_reduced_tests,SEQ_time_prefix_track,SEQ_time_prefix_no-rv,SEQ_time_prefix_redundant-no-rv,SEQ_violations_prefix,PAR_prefix_reduced_tests,PAR_time_prefix_track,PAR_time_prefix_no-rv,PAR_time_prefix_redundant-no-rv,PAR_violations_prefix,SEQ_online_detour_reduced_tests,SEQ_time_online_detour_track,SEQ_time_online_detour_no-rv,SEQ_time_online_detour_redundant-no-rv,SEQ_violations_online_detour,PAR_online_detour_reduced_tests,PAR_time_online_detour_track,PAR_time_online_detour_no-rv,PAR_time_online_detour_redundant-no-rv,PAR_violations_online_detour,SEQ_state-online_detour-prefix_reduced_tests,SEQ_time_state-online_detour-prefix_track,SEQ_time_state-online_detour-prefix_no-rv,SEQ_time_state-online_detour-prefix_redundant-no-rv,SEQ_violations_state-online_detour-prefix,PAR_state-online_detour-prefix_reduced_tests,PAR_time_state-online_detour-prefix_track,PAR_time_state-online_detour-prefix_no-rv,PAR_time_state-online_detour-prefix_redundant-no-rv,PAR_violations_state-online_detour-prefix
StarlangSoftware-TurkishSentiNet,7,291.669,2.554,0,7,295.603,2.546,2.584,0,7,327.030,2.317,1.539,0,3,130.482,1.896,2.046,0,3,127.236,1.747,2.103,0,3,128.223,1.902,2.017,0,3,126.781,1.788,2.100,0,3,130.482,1.896,2.046,0,3,127.236,1.747,2.103,0,3,130.482,1.896,2.046,0,3,127.236,1.747,2.103,0
albfernandez-javadbf,154,35.217,6.341,2,75,21.807,4.428,4.328,2,75,21.772,1.718,6.431,2,51,21.451,4.330,4.424,2,51,21.366,1.718,6.431,2,63,21.350,4.396,4.401,2,63,21.292,1.718,6.431,2,57,21.452,4.348,4.413,2,57,21.460,1.718,6.431,2,49,21.501,4.350,4.368,2,49,21.565,1.718,6.431,2
alexheretic-dynamics,226,19.855,2.672,0,58,17.066,2.458,1.888,0,65,16.697,2.169,2.238,0,52,16.751,2.477,1.923,0,51,16.973,2.137,2.214,0,55,16.757,2.508,1.901,0,52,16.559,2.150,2.244,0,49,16.913,2.492,1.907,0,48,17.218,2.166,2.266,0,43,17.160,2.503,2.008,0,41,16.698,2.087,2.335,0
bvolpato-inutils4j,43,8.828,1.743,1,17,7.804,1.651,1.671,1,17,7.709,1.634,1.687,2,17,7.804,1.651,1.671,1,17,7.709,1.634,1.687,2,17,7.804,1.651,1.671,1,17,7.709,1.634,1.687,2,17,7.804,1.651,1.671,1,17,7.709,1.634,1.687,2,17,7.804,1.651,1.671,1,17,7.709,1.634,1.687,2
cheese10yun-spring-jpa-best-practices,52,104.205,7.331,7,9,98.864,3.213,6.838,7,22,98.261,4.753,4.767,79,8,96.361,3.216,6.823,7,14,97.578,4.135,6.023,7,8,96.361,3.216,6.823,7,18,98.254,4.141,5.298,7,8,96.361,3.216,6.823,7,15,97.692,4.169,5.961,7,8,96.361,3.216,6.823,7,11,97.222,3.687,6.512,7
cowtowncoder-java-uuid-generator,66,159.429,5.954,0,22,164.683,3.681,1.841,0,,,,,,22,164.683,3.681,1.841,0,,,,,,22,164.683,3.681,1.841,0,,,,,,22,164.683,3.681,1.841,0,,,,,,22,164.683,3.681,1.841,0,,,,,
dakusui-jcunit,254,2273.078,9.705,1,24,53.744,2.050,9.728,1,,,,,,22,59.727,2.030,9.671,1,,,,,,24,53.744,2.050,9.728,1,,,,,,19,53.129,2.007,10.048,1,,,,,,15,33.890,1.762,10.034,1,,,,,
danieldk-dictomaton,221,375.388,5.908,24,38,337.066,5.171,2.341,1,106,346.888,5.321,2.272,24,35,317.655,4.811,2.658,1,88,325.733,4.937,2.640,24,36,318.840,4.814,2.629,1,102,356.702,4.955,2.630,24,34,250.850,4.036,3.536,1,100,233.582,4.194,3.504,24,34,250.850,4.036,3.536,1,82,259.149,4.169,3.513,24
davidmoten-hilbert-curve,68,76.369,14.431,3,24,75.322,14.007,2.280,3,24,75.141,10.591,5.562,6,22,75.040,14.123,2.250,3,22,75.339,10.591,5.562,3,23,75.648,14.117,2.286,3,23,75.091,10.591,5.562,3,22,75.040,14.123,2.250,3,22,75.339,10.591,5.562,3,22,75.040,14.123,2.250,3,22,75.339,10.591,5.562,3
davidmoten-sparse-hilbert-index,63,16.641,3.734,2,33,14.824,3.010,2.794,2,,,,,,31,14.412,2.854,2.875,2,,,,,,32,14.728,2.922,2.772,2,,,,,,31,13.938,2.550,3.114,2,,,,,,30,13.878,2.518,3.097,2,,,,,
