project,best-none-greedy_reduced_tests,time_best-none-greedy_track,time_best-none-greedy_redundant-and-no-trace-no-rv,violations_best-none-greedy,best-none-ge_reduced_tests,time_best-none-ge_track,time_best-none-ge_redundant-and-no-trace-no-rv,violations_best-none-ge,best-none-gre_reduced_tests,time_best-none-gre_track,time_best-none-gre_redundant-and-no-trace-no-rv,violations_best-none-gre,best-none-hgs_reduced_tests,time_best-none-hgs_track,time_best-none-hgs_redundant-and-no-trace-no-rv,violations_best-none-hgs,best-time-greedy_reduced_tests,time_best-time-greedy_track,time_best-time-greedy_redundant-and-no-trace-no-rv,violations_best-time-greedy,best-time-ge_reduced_tests,time_best-time-ge_track,time_best-time-ge_redundant-and-no-trace-no-rv,violations_best-time-ge,best-time-gre_reduced_tests,time_best-time-gre_track,time_best-time-gre_redundant-and-no-trace-no-rv,violations_best-time-gre,best-time-hgs_reduced_tests,time_best-time-hgs_track,time_best-time-hgs_redundant-and-no-trace-no-rv,violations_best-time-hgs
f-lab-edu-real-time-delivery-market,4,76.152,2.025,0,4,76.152,2.025,0,4,76.152,2.025,0,4,76.152,2.025,0,4,76.152,2.025,0,4,76.152,2.025,0,4,76.152,2.025,0,4,76.152,2.025,0
f4b6a3-uuid-creator,54,22.698,4.773,0,54,22.386,4.91,0,54,22.386,4.91,0,54,22.252,4.92,0,54,22.58,5.001,0,54,21.701,4.962,0,54,22.386,4.91,0,54,21.786,4.935,0
flipkart-incubator-databuilderframework,24,244.162,41.999,3,23,222.987,58.228,3,23,216.649,55.443,3,23,242.031,38.229,3,23,222.987,58.228,3,23,216.649,55.443,3,23,216.649,55.443,3,23,222.987,58.228,3
fraunhoferfokus-Fuzzino,137,779.867,4.407,13,137,743.22,4.398,13,137,721.829,4.415,13,137,711.045,4.408,13,137,687.231,4.461,13,137,680.345,4.414,13,137,721.829,4.415,13,137,680.345,4.414,13
houbb-segment,9,54.288,2.324,1,9,54.47,2.319,1,9,54.111,2.321,1,9,54.482,2.35,1,9,53.509,2.349,1,9,55.345,2.37,1,9,54.111,2.321,1,9,55.345,2.37,1
houbb-sensitive-word,6,167.21,5.122,0,6,173.766,4.961,0,6,176.659,4.636,0,6,253.282,4.264,0,6,180.239,4.748,0,6,167.21,5.122,0,6,176.659,4.636,0,6,167.21,5.122,0
huaban-jieba-analysis,2,11.933,4.618,3,2,102.959,3.369,3,2,11.933,4.618,3,2,11.933,4.618,3,2,11.933,4.618,3,2,11.933,4.618,3,2,11.933,4.618,3,2,11.933,4.618,3
indeedeng-vowpal-wabbit-java,6,7.066,92.329,0,6,7.066,92.329,0,6,7.066,92.329,0,6,5.438,89.959,0,6,5.438,89.959,0,6,5.438,89.959,0,6,7.066,92.329,0,6,5.438,89.959,0
jahlborn-jackcess,180,853.371,23.385,30,180,853.371,23.385,30,180,853.371,23.385,30,180,853.371,23.385,30,180,853.371,23.385,30,180,853.371,23.385,30,180,853.371,23.385,30,180,853.371,23.385,30
lhncbc-metamaplite,16,16.297,1.839,0,16,16.297,1.839,0,16,16.218,1.816,0,16,16.232,1.863,0,16,16.232,1.863,0,16,16.232,1.863,0,16,16.218,1.816,0,16,16.232,1.863,0
mimno-Mallet,80,2164.349,10.767,13,80,2159.27,8.854,13,80,702.705,8.526,13,80,2390.496,8.561,13,80,2354.226,8.818,13,80,2364.334,8.764,13,80,702.705,8.526,13,80,1989.611,8.78,13
