project,best-none-greedy_reduced_tests,time_best-none-greedy_no-track,time_best-none-greedy_no-rv,time_best-none-greedy_redundant-and-no-trace-no-rv,violations_best-none-greedy,best-none-ge_reduced_tests,time_best-none-ge_no-track,time_best-none-ge_no-rv,time_best-none-ge_redundant-and-no-trace-no-rv,violations_best-none-ge,best-none-gre_reduced_tests,time_best-none-gre_no-track,time_best-none-gre_no-rv,time_best-none-gre_redundant-and-no-trace-no-rv,violations_best-none-gre,best-none-hgs_reduced_tests,time_best-none-hgs_no-track,time_best-none-hgs_no-rv,time_best-none-hgs_redundant-and-no-trace-no-rv,violations_best-none-hgs,best-time-greedy_reduced_tests,time_best-time-greedy_no-track,time_best-time-greedy_no-rv,time_best-time-greedy_redundant-and-no-trace-no-rv,violations_best-time-greedy,best-time-ge_reduced_tests,time_best-time-ge_no-track,time_best-time-ge_no-rv,time_best-time-ge_redundant-and-no-trace-no-rv,violations_best-time-ge,best-time-gre_reduced_tests,time_best-time-gre_no-track,time_best-time-gre_no-rv,time_best-time-gre_redundant-and-no-trace-no-rv,violations_best-time-gre,best-time-hgs_reduced_tests,time_best-time-hgs_no-track,time_best-time-hgs_no-rv,time_best-time-hgs_redundant-and-no-trace-no-rv,violations_best-time-hgs
dakusui-jcunit,15,26.98,1.741,10.004,1,15,26.98,1.741,10.004,1,15,19.825,1.771,10.67,1,15,19.825,1.771,10.67,1,15,19.825,1.771,10.67,1,15,19.825,1.771,10.67,1,15,19.825,1.771,10.67,1,15,19.825,1.771,10.67,1
danieldk-dictomaton,82,118.745,4.196,3.537,24,82,122.418,4.18,3.527,24,82,119.347,4.226,3.568,24,82,140.769,4.21,3.552,24,82,132.71,4.211,3.554,24,82,111.674,4.162,3.559,24,82,134.757,4.188,3.472,24,82,112.502,4.203,5.039,24
davidmoten-hilbert-curve,24,24.694,13.99,2.256,6,24,24.853,14.1,2.216,3,24,24.853,14.1,2.216,3,24,24.79,13.975,2.277,3,24,24.798,14.007,2.236,3,24,24.643,13.99,2.244,3,24,24.853,14.1,2.216,3,24,24.643,13.99,2.244,3
davidmoten-sparse-hilbert-index,30,11.666,2.552,3.132,2,30,11.82,2.568,3.15,2,30,12.156,2.98,2.775,2,30,12.156,2.98,2.775,2,30,11.66,2.527,3.104,2,30,11.771,2.547,3.138,2,30,12.156,2.98,2.775,2,30,11.598,2.533,3.144,2
dernasherbrezon-jradio,200,71.398,6.911,5.392,27,200,95.483,6.882,5.362,27,200,74.764,8.561,11.634,27,200,90.459,12.535,11.658,27,200,72.681,7.305,5.482,27,200,92.972,6.942,5.37,27,200,74.764,8.561,11.634,27,200,73.459,6.961,5.462,27
eightbitjim-cassette-nibbler,7,141.407,1.659,1.924,2,7,141.407,1.659,1.924,2,7,141.407,1.659,1.924,2,7,153.203,1.677,1.942,2,7,141.407,1.659,1.924,2,7,141.407,1.659,1.924,2,7,141.407,1.659,1.924,2,7,141.407,1.659,1.924,2
f-lab-edu-real-time-delivery-market,4,68.582,2.093,2.008,0,4,68.582,2.093,2.008,0,4,68.582,2.093,2.008,0,4,68.582,2.093,2.008,0,4,68.582,2.093,2.008,0,4,68.582,2.093,2.008,0,4,68.582,2.093,2.008,0,4,68.582,2.093,2.008,0
f4b6a3-uuid-creator,54,20.099,11.201,4.948,0,54,20.854,11.538,4.728,0,54,20.854,11.538,4.728,0,54,20.474,11.103,4.72,0,54,20.144,11.573,4.941,0,54,19.971,11.416,4.779,0,54,20.854,11.538,4.728,0,54,20.43,11.324,4.969,0
flipkart-incubator-databuilderframework,24,149.781,22.515,42.112,3,23,124.908,8.867,55.205,3,23,116.547,8.806,55.734,3,23,134.374,26.864,37.507,3,24,112.415,8.871,56.025,3,23,116.547,8.806,55.734,3,23,116.547,8.806,55.734,3,23,124.908,8.867,55.205,3
fraunhoferfokus-Fuzzino,137,86.066,8.876,4.353,13,137,86.4,8.898,4.357,13,137,84.792,8.832,4.394,13,137,84.796,8.935,4.352,13,137,84.547,8.872,4.373,13,137,85.469,8.825,4.363,13,137,84.792,8.832,4.394,13,137,85.469,8.825,4.363,13
