project,all_reduced_tests,time_all_no-track,time_all_no-rv,violations_all,SEQ_perfect_reduced_tests,SEQ_time_perfect_no-track,SEQ_time_perfect_no-rv,SEQ_time_perfect_redundant-no-rv,SEQ_violations_perfect,PAR_perfect_reduced_tests,PAR_time_perfect_no-track,PAR_time_perfect_no-rv,PAR_time_perfect_redundant-no-rv,PAR_violations_perfect,SEQ_state_reduced_tests,SEQ_time_state_no-track,SEQ_time_state_no-rv,SEQ_time_state_redundant-no-rv,SEQ_violations_state,PAR_state_reduced_tests,PAR_time_state_no-track,PAR_time_state_no-rv,PAR_time_state_redundant-no-rv,PAR_violations_state,SEQ_prefix_reduced_tests,SEQ_time_prefix_no-track,SEQ_time_prefix_no-rv,SEQ_time_prefix_redundant-no-rv,SEQ_violations_prefix,PAR_prefix_reduced_tests,PAR_time_prefix_no-track,PAR_time_prefix_no-rv,PAR_time_prefix_redundant-no-rv,PAR_violations_prefix,SEQ_online_detour_reduced_tests,SEQ_time_online_detour_no-track,SEQ_time_online_detour_no-rv,SEQ_time_online_detour_redundant-no-rv,SEQ_violations_online_detour,PAR_online_detour_reduced_tests,PAR_time_online_detour_no-track,PAR_time_online_detour_no-rv,PAR_time_online_detour_redundant-no-rv,PAR_violations_online_detour,SEQ_state-online_detour-prefix_reduced_tests,SEQ_time_state-online_detour-prefix_no-track,SEQ_time_state-online_detour-prefix_no-rv,SEQ_time_state-online_detour-prefix_redundant-no-rv,SEQ_violations_state-online_detour-prefix,PAR_state-online_detour-prefix_reduced_tests,PAR_time_state-online_detour-prefix_no-track,PAR_time_state-online_detour-prefix_no-rv,PAR_time_state-online_detour-prefix_redundant-no-rv,PAR_violations_state-online_detour-prefix
StarlangSoftware-TurkishSentiNet,7,66.623,2.554,0,7,66.870,2.546,2.584,0,6,59.638,2.317,1.539,0,3,31.605,1.896,2.046,0,2,23.672,1.747,2.103,0,3,31.963,1.902,2.017,0,2,23.915,1.788,2.100,0,3,31.605,1.896,2.046,0,2,23.672,1.747,2.103,0,3,31.605,1.896,2.046,0,2,23.672,1.747,2.103,0
albfernandez-javadbf,154,35.391,6.341,2,75,22.669,4.428,4.328,2,2,6.612,1.718,6.431,0,51,22.346,4.330,4.424,2,2,6.612,1.718,6.431,0,63,22.039,4.396,4.401,2,2,6.612,1.718,6.431,0,57,22.664,4.348,4.413,2,2,6.612,1.718,6.431,0,49,22.449,4.350,4.368,2,2,6.612,1.718,6.431,0
alexheretic-dynamics,226,15.576,2.672,0,58,15.316,2.458,1.888,0,20,13.971,2.169,2.238,0,52,14.598,2.477,1.923,0,17,15.116,2.137,2.214,0,55,14.671,2.508,1.901,0,17,14.681,2.150,2.244,0,49,14.713,2.492,1.907,0,14,14.918,2.166,2.266,0,43,15.195,2.503,2.008,0,12,14.665,2.087,2.335,0
bvolpato-inutils4j,43,8.788,1.743,1,17,7.967,1.651,1.671,1,1,6.706,1.634,1.687,0,17,7.967,1.651,1.671,1,1,6.706,1.634,1.687,0,17,7.967,1.651,1.671,1,1,6.706,1.634,1.687,0,17,7.967,1.651,1.671,1,1,6.706,1.634,1.687,0,17,7.967,1.651,1.671,1,1,6.706,1.634,1.687,0
cheese10yun-spring-jpa-best-practices,52,99.704,7.331,7,9,93.499,3.213,6.838,7,18,95.777,4.753,4.767,7,8,94.567,3.216,6.823,7,12,93.268,4.135,6.023,7,8,94.567,3.216,6.823,7,14,94.385,4.141,5.298,7,8,94.567,3.216,6.823,7,13,93.711,4.169,5.961,7,8,94.567,3.216,6.823,7,9,92.853,3.687,6.512,7
cowtowncoder-java-uuid-generator,66,43.613,5.954,0,22,38.518,3.681,1.841,0,,,,,,22,38.518,3.681,1.841,0,,,,,,22,38.518,3.681,1.841,0,,,,,,22,38.518,3.681,1.841,0,,,,,,22,38.518,3.681,1.841,0,,,,,
dakusui-jcunit,254,690.083,9.705,1,24,29.988,2.050,9.728,1,,,,,,22,30.477,2.030,9.671,1,,,,,,24,29.988,2.050,9.728,1,,,,,,19,29.795,2.007,10.048,1,,,,,,15,19.679,1.762,10.034,1,,,,,
danieldk-dictomaton,221,181.883,5.908,24,38,162.999,5.171,2.341,1,101,170.165,5.321,2.272,24,35,160.786,4.811,2.658,1,84,164.280,4.937,2.640,24,36,162.041,4.814,2.629,1,98,163.354,4.955,2.630,24,34,104.599,4.036,3.536,1,96,111.525,4.194,3.504,24,34,104.599,4.036,3.536,1,78,110.720,4.169,3.513,24
davidmoten-hilbert-curve,68,26.797,14.431,3,24,24.639,14.007,2.280,3,4,21.030,10.591,5.562,3,22,24.734,14.123,2.250,3,4,21.030,10.591,5.562,3,23,24.897,14.117,2.286,3,4,21.030,10.591,5.562,3,22,24.734,14.123,2.250,3,4,21.030,10.591,5.562,3,22,24.734,14.123,2.250,3,4,21.030,10.591,5.562,3
davidmoten-sparse-hilbert-index,63,13.262,3.734,2,33,12.182,3.010,2.794,2,,,,,,31,12.041,2.854,2.875,2,,,,,,32,12.232,2.922,2.772,2,,,,,,31,11.688,2.550,3.114,2,,,,,,30,11.642,2.518,3.097,2,,,,,
