RokLenarcic/AhoCorasick,7acfcb763241e207560537083ccaed99d8731ede
davidmoten/sparse-hilbert-index,018f6e4c4bf68342c1c093b0b5773123e8eaa7bc
StarlangSoftware/TurkishMorphologicalAnalysis,26450b47db92b64580a2bfa4a0d7d0bce38edd49
andreitognolo/raidenjpa,1c6e320f9f9d26c89e54f41eab1ef123815d2f06
solita/functional-utils,bf42b0192232c06ae6c50725c352cecca844b3f4
huaban/jieba-analysis,e46e44ba2c7b8534a9b489801f4ce0d38378ad1a
StarlangSoftware/TurkishSpellChecker,0b81eabd080b1a12fc94d08b49b7a094785a9601
codelion/gramtest,355cf41dcf0904e8d28aeb220241df0137c789ca
LiveRamp/HyperMinHash-java,9f5267dbaab4d82dcaf2eff4ceb4d9a1599bfeae
StarlangSoftware/TurkishMorphologicalDisambiguation,bf8dbc2cd835c67178eb896939ad1009b6743486
Azure/autorest-clientruntime-for-java,4d645daa595a3bed1ba463d59d6b8bfb0b820477
almondtools/stringsearchalgorithms,19f26f1c06192816b1ff2fb3b86740898d50a44d
StarlangSoftware/TurkishDeasciifier,982c11d344788ed572a392a944a73993f83d5982
davidmoten/rtree,f1da3d62dbdab20654b63da91510c51a32e8b8a8
dernasherbrezon/jradio,3fd14432f75d291165fdc8b6f8d261d6607ff217
hlavki/jlemmagen,43f7c636811a1f7fea7ae7db403ec6f3ec60e9b7
JetBrains/jetCheck,8a7b755816887ec6ace8ad68b581cbb4c3f46cad
flipkart-incubator/databuilderframework,d739c964a4dda5fa212a5c52da61bc39d62ebe3a
palindromicity/simple-syslog,aea2990ca8e29d027f6514d0993a1ba84662e69f
davidmoten/rtree2,7da3d606a192321217f6b780b6ab4fdcd8e3e1ed
f4b6a3/uuid-creator,f9e6e6d02ecc8dac16a56e4fab1bd24caec8171c
StarlangSoftware/TurkishSentiNet,636ab8932a35d78033e8e501221c386521a8cbb3
pebbleblog/pebble,040bf740858a3a34b99b5d2fae7cfb62cd6cc2b0
indeedeng/vowpal-wabbit-java,3a9a92ac11a69d265656806e84bc9c05d138ef88
bigdatagenomics/convert,de4c49e527567d94028a58f011d292e1d5f03d6a
davidmoten/bplustree,761c1da3772772260520c41d9e9be8405931b4e5
fabiomaffioletti/jsondoc,972b966721e0eaf603712e234e58926dfc0dee02
Blazebit/blaze-utils,ad07c70d3806f12a27e083be2eda62979345529a
almson/almson-refcount,ded7fe38d1e84f2af98f1d845d30fcc46aad197b
albfernandez/javadbf,395265f33bcf9080b02f2102c4b6284921cefae2
mocnik-science/geogrid,702f29dffa36d82edf9744a79400a63fa7dde4db
danieldk/dictomaton,b23b48ba03ec43c0ce2ef1be85c0cbb8203a87b2
imagej/imagej-omero,a8994a0b860d9d57509bdb3b01545549f1072026
fusion-jena/JaroWinklerSimilarity,03266936fa5350724979d78fef4213a20189ed0a
StarlangSoftware/TurkishPropBank,d99aae1239f782b42b077ce8e1a2b7e8e6ac716f
sangupta/bloomfilter,5c7769f7ed19cc0eb2860cc0e1d4c0159830cd9e
cowtowncoder/java-uuid-generator,31408f5c088d27766269f905896efe383b38a46e
aehrc/ontology-core,e5a486896081b28ebf4d2eeda231341b3e47c9c9
agarciadom/xeger,f3b8a33b0f4438d639150b57b9a0257d50c71bc2
mojohaus/aspectj-maven-plugin,8e904609e3c13a1469883502d371cf646ee4f1e8
spotify/trickle,d02fafb5d65e7f70f7708edf2c2e39731e921922
hazelcast/hazelcast-aws,c103d889e8f7fcfdaa6565a1729b7e4da0e4e7a1
graphstream/gs-core,950b87280075f92a85b564b47ce6522ced5ba53a
grpc/grpc-java-api-checker,ded0486856cbd9446c1ce2324a17b0cebc51c9da
Sweetiee-yi/Jaba,6c5e46516fe63265c2d414ab94f52fe349ac1ebf
AAA-AA/basic-tools,fc7594c6531d4d758718348dc1cf4dc6c91cfcc2
bingoohuang/asmvalidator,3b9f72b3573f5469b8636e043df357753e6704ba
apache/xmlgraphics-commons,d5d782f9fce99774ef206a4a4437fc86f711d9d9
delving/x3ml,df456fc49f91e9b1ebb082571c8df407e6ecc73a
aschoerk/converter-page,03c43e283236c94a468282b7dbf124851e34a15d
ahus1/prometheus-hystrix,4ee689f7ee14b4dac9242dea77318b0c2eda42dc
streamx-co/FluentJPA,064ce0b468b63fa07aecb0cfc2d352108af1cb40
###
